State,State Library Name,Statistics in some form?,free to use?,download?,mach-read?,open format? ,latest year available (after OK),Clicks from Home,Statistics webpage,Notes
Oregon,State Library of Oregon,y,y,y,y,xls multi,,,https://www.oregon.gov/osl/LD/Pages/statsmain.aspx,"simple presentation, but plain language to ""work with it as you choose"" (https://www.oregon.gov/osl/LD/Pages/statsploregon.aspx)"
Pennsylvania,State Library of Pennsylvania,y,y,y,y,xls ,,,https://www.statelibrary.pa.gov/Libraries/Statistics/Pages/default.aspx,"Pretty straightforward navigation from home page, as long as the user knows to click ""for Libraries""; thru 2015 in xls; one sheet but columns are a little strange, with the county names repeated at intervals"
Rhode Island,Office of Library & Information Services,y,y,y,y,xls multi,,,http://www.olis.ri.gov/stats/pls/index.php,NOT easy to find at all; user needs to know to go to Office of Library & information Services and then look for public library survey 
South Carolina,South Carolina State Library ,y,y,y,y,xls multi,2017,F minus,http://guides.statelibrary.sc.gov/c.php?g=11804&p=529530,"only way to find this is to search the site for ""statistics,"" which are inexplicably found under ""Subject Guides"" (?) under the ""For Libraries"" section of the ""Programs & Services"" page -- and even on the Subject Guides page I needed to search ""statistics"" because it was under ""South Carolina Public Library Statistics"" and I didn't catch the fifth word on a scan"
South Dakota,South Dakota State Library ,y,y,y,n,pdf,2017,3 but,http://library.sd.gov/SDSL/publications/index.aspx#Reports,Navigation not obvious. Home/Publications/Reports …after clicking around on menus and not finding any other routes. This was a guess. 
Tennessee,Tennessee State Library and Archives,y,y,y,y,xls Ready Reports,2017,3,https://tn.countingopinions.com/index.php?page_id=10,Reports available in segments; don't see an option for getting the full dataset; usual Ready Report issues
Texas,Texas State Library and Archives Commission,y,y,y,y,xls multi,2016,3,https://www.tsl.texas.gov/ld/pubs/pls/index.html,
Utah,,,,,,,,,,
Vermont,,,,,,,,,,
Virginia,,,,,,,,,,
Washington,Washington State Library,y,y,,y,xls multi,,,,
West Virginia,,,,,,,,,,
Wisconsin,,,,,,,,,,
Wyoming,Wyoming State Library ,y,y,y,y,xls multi,,,https://library.wyo.gov/services/ldo/stats/,"relatively easy to find from home page, if you know to go thru Lbirary Development; nicely arranged on one page with links, thru 2016"
